"term","B","SE","z","P","CI_lower","CI_upper","OR","OR_low","OR_high"
"(Intercept)",-9.79044014182086,0.161150953844931,-60.7532249001878,0,-10.1062902074312,-9.47459007621052,0.0000559842508378862,0.0000408219672918437,0.0000767781797352424
"Agent_typeDeepSeek-R1",10.5360923423639,0.164904773862348,63.8919789621058,0,10.212884924715,10.8592997600129,37650.1547092846,27252.0744749522,52015.6419995089
"Agent_typeo3-mini",10.5302502710821,0.164788456514141,63.9016257196297,0,10.2072708312464,10.8532297109178,37430.8410684227,27099.5074451377,51700.860833945
"Agent_typeDeepSeek-v3",9.9750663705308,0.164618867470816,60.5949155390662,0,9.65241931911223,10.2977134219494,21484.0562775288,15559.3857247958,29664.7105676198
"Agent_typeGPT-3.5",7.60828680465458,0.163591256676935,46.5079061020949,0,7.28765383338214,7.92891977592702,2014.82335324511,1462.13625462077,2776.42602182431
"Emotion_selfreportEmotion Self-Report",0.666116563714758,0.143400766301896,4.64513949885321,0.00000339846736585108,0.385056226407596,0.94717690102192,1.9466628814602,1.46969695489806,2.57842023923753
"amount_of_cost_c",-0.125579544400259,0.0015109557032322,-83.1126578572901,0,-0.128540963160829,-0.122618125639688,0.881985604620704,0.879377539597032,0.884601404664729
"amount_of_allocation_c",-1.12847455729569,0.00365281854962378,-308.932552210106,0,-1.13563395009501,-1.12131516449637,0.323526401182922,0.321218420324992,0.325850965073779
"Agent_typeDeepSeek-R1:Emotion_selfreportEmotion Self-Report",1.03386524527332,0.144488656702175,7.15533848033733,0.00000000000083466713873256,0.750672681962488,1.31705780858416,2.81191359229324,2.11842456341819,3.73242370158573
"Agent_typeo3-mini:Emotion_selfreportEmotion Self-Report",0.0495436143774308,0.144335975545613,0.343252014545563,0.731408877003664,-0.233349699365424,0.332436928120286,1.05079142082905,0.791876606352779,1.39436195138216
"Agent_typeDeepSeek-v3:Emotion_selfreportEmotion Self-Report",1.71026329072232,0.144416841811519,11.8425473737642,0.0000000000000000000000000000000235198871630481,1.42721148201073,1.99331509943392,5.53041739354132,4.16706304539683,7.33982572703592
"Agent_typeGPT-3.5:Emotion_selfreportEmotion Self-Report",4.46059061254679,0.144689032405253,30.8288094708749,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107752015821875,4.17700532007455,4.74417590501904,86.5386047917366,65.1703962172254,114.913067189869
