"term","B","SE","z","P","CI_lower","CI_upper"
"(Intercept)",0.742245717031177,0.0457757037386408,16.2148401097026,3.96107100452509e-59,0.652526986336466,0.831964447725889
"GroupDeepSeek-R1",-0.0262629005327604,0.0646107388569206,-0.406478876381822,0.684390774711715,-0.152897621706847,0.100371820641327
"GroupDeepSeek-v3",-0.247764098468191,0.0663631844663167,-3.73345704339951,0.000188869418224858,-0.37783354992156,-0.117694647014822
"GroupGPT-3.5",-2.15566881896459,0.0643543333660072,-33.4968712472631,5.35273984678268e-246,-2.28180099461105,-2.02953664331813
"Emotion_selfreportEmotion Self-Report",1.04028833713058,0.0207353961316071,50.1696871633363,0,0.99964770750746,1.0809289667537
"amount_of_cost_c",-0.369035588521628,0.00461442755177664,-79.9742946185258,0,-0.378079700332379,-0.359991476710876
"amount_of_allocation_c",-1.1194975717865,0.00914750868666902,-122.382783130667,0,-1.13742635936064,-1.10156878421236
"GroupDeepSeek-R1:Emotion_selfreportEmotion Self-Report",1.43080909080343,0.035236722807475,40.6056232476848,0,1.36174638316756,1.49987179843931
"GroupDeepSeek-v3:Emotion_selfreportEmotion Self-Report",18.9616082389715,0.366601078433685,51.7227290219263,0,18.2430833285479,19.680133149395
"GroupGPT-3.5:Emotion_selfreportEmotion Self-Report",2.8330964264816,0.0300649517837016,94.2325285223786,0,2.77417020378861,2.89202264917458
"GroupDeepSeek-R1:amount_of_cost_c",0.0232437422859034,0.00639049612803846,3.6372359547987,0.000275579461571783,0.0107186000316053,0.0357688845402014
"GroupDeepSeek-v3:amount_of_cost_c",0.23662153569212,0.00810219550855596,29.2046193457374,1.69423199691577e-187,0.220741524299648,0.252501547084592
"GroupGPT-3.5:amount_of_cost_c",0.44243682290732,0.00583782628461584,75.7879390952852,0,0.430994893641472,0.453878752173169
"Emotion_selfreportEmotion Self-Report:amount_of_cost_c",0.0340981516038216,0.00655983179092247,5.19802224974835,2.01420024450728e-07,0.0212411175489727,0.0469551856586705
"GroupDeepSeek-R1:amount_of_allocation_c",0.0729634923534721,0.0125676250967291,5.80567066505363,6.41088652763562e-09,0.0483313997926813,0.0975955849142629
"GroupDeepSeek-v3:amount_of_allocation_c",-2.45863074986055,0.0349203036949224,-70.4069120171498,0,-2.5270732874318,-2.3901882122893
"GroupGPT-3.5:amount_of_allocation_c",0.803241015425335,0.0110744488391159,72.5310150504484,0,0.781535494552036,0.824946536298633
"Emotion_selfreportEmotion Self-Report:amount_of_allocation_c",-0.352889737262455,0.0130260471959705,-27.0910838839598,1.25411861423157e-161,-0.378420320627476,-0.327359153897434
"GroupDeepSeek-R1:Emotion_selfreportEmotion Self-Report:amount_of_cost_c",0.171857296436213,0.00935192590108043,18.3766743079475,2.01978197151739e-75,0.153527858484008,0.190186734388418
"GroupDeepSeek-v3:Emotion_selfreportEmotion Self-Report:amount_of_cost_c",0.0746756385650176,0.0170404800832753,4.38224969015452,1.17460080878219e-05,0.0412769113225259,0.108074365807509
"GroupGPT-3.5:Emotion_selfreportEmotion Self-Report:amount_of_cost_c",0.00530349059263308,0.00873938765499271,0.606849221249873,0.543950979488176,-0.0118253944580866,0.0224323756433527
"GroupDeepSeek-R1:Emotion_selfreportEmotion Self-Report:amount_of_allocation_c",-0.281066613168148,0.0204398780602917,-13.7508948115582,5.03034858906923e-43,-0.32112803801471,-0.241005188321586
"GroupDeepSeek-v3:Emotion_selfreportEmotion Self-Report:amount_of_allocation_c",-7.50439070945145,0.238261031653431,-31.4965089228992,9.6972228162359e-218,-7.97137375041153,-7.03740766849136
"GroupGPT-3.5:Emotion_selfreportEmotion Self-Report:amount_of_allocation_c",-0.147543799839944,0.0176502511537737,-8.35930313707741,6.30898082770711e-17,-0.182137656419427,-0.112949943260461
